tinh;huyen;xa;diaban;hoso;m7c1;m7c2;m7c3;m7c4;m7c5;m7c6;m7c7;m7c8;m7c9;m7c10;m7c11;m7c12;m7c13;m7c14;m7c15;m7c16;m7c17;m7c18;m7c19;m7c20a;m7c20b;m7c21;m7c22;m7c23;m7c23a;m7c24;m7c241;m7c242;m7c25;m7c251;m7c252;m7c253;m7c254;m7c26;m7c27;m7c27a;m7c28;m7c29;m7c30;m7c31;m7c32;m7c33;m7c34;m7c35;m7c36;m7c37;m7c38;m7c39;m7c391;m7c40;m7c41;m7c42;m7c43;m7c44
101;5;11;7;13;1;19;4;1958;;1;2;;;;;285000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;540;1;1;1;1500;1;1;90;;2130;2;;;
101;5;11;7;14;1;21;4;1958;;1;2;;;;;350000;1;2;;;;1400000;1;8;1997;;2;;;0;;;0;;;;;1;;;1;1;;1;850;1;1;1;2770;1;1;120;;3740;1;1;12;3600
101;5;11;7;15;1;100;2;1996;;1;2;;;;;20000000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;744;1;1;1;2760;1;1;150;;3654;1;1;12;930
101;5;17;18;13;1;30;3;1995;;1;2;;;;;500000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;600;1;1;1;1440;1;1;12;;2052;2;;;
101;5;17;18;14;1;40;4;1990;;1;2;;;;;400000;2;;;;;;2;;;;2;;;0;;;0;;;;;2;;;1;2;;1;600;1;1;1;1600;1;1;80;;2280;2;;;
101;5;17;18;19;1;120;2;1980;;1;2;;;;;1200000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;2;;1;1320;1;1;1;3600;1;1;180;;5100;1;1;12;60
101;5;25;12;13;1;30;2;1988;;1;2;;;;;500000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;360;1;1;1;720;1;1;96;;1176;2;;;
101;5;25;12;14;1;80;2;1980;;1;2;;;;;800000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;720;1;1;1;4200;1;1;144;;5064;2;;;
101;5;25;12;15;1;25;2;1982;;1;2;;;;;350000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;600;1;1;1;2640;1;1;108;;3348;2;;;
101;5;33;12;14;1;24;2;1988;;1;2;;;;;300000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;564;1;1;1;1740;1;1;96;;2400;1;1;12;600
101;5;33;12;15;1;60;2;1994;;1;2;;;;;450000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;600;1;1;1;2600;1;1;96;;3296;1;2;;
101;5;33;12;24;1;65;2;1995;;1;2;;;;;600000;2;;;;;;1;7;1991;;2;;;0;;;0;;;;;1;;;1;1;;1;960;1;1;1;2930;1;1;120;;4010;2;;;
101;5;35;16;14;1;35;2;1963;;1;2;;;;;800000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;780;1;1;1;2400;1;1;144;;3324;1;2;;
101;5;35;16;15;1;78;2;1969;;1;2;;;;;2000000;1;1;11089;12;12;500000;2;;;;2;;;0;;;0;;;;;1;;;1;4;1;1;240;1;1;1;2400;1;1;144;;2784;1;2;;
101;5;35;16;19;1;23;2;1991;;1;2;;;;;1000000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;600;1;1;1;4500;1;1;108;;5208;2;;;
101;6;1;10;13;1;30;4;2001;4;1;2;;;;;300000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;4;2;1;360;1;1;1;1200;1;1;144;;1704;2;;;
101;6;1;10;14;1;40;4;1989;;1;2;;;;;400000;2;;;;;;2;;;;2;;;0;;;0;;;;;4;2;1;1;4;2;2;;1;1;1;720;1;1;192;;912;2;;;
101;6;1;10;19;1;40;3;1998;;1;2;;;;;600000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;4;2;1;480;1;1;1;1800;1;1;180;;2460;2;;;
101;6;7;17;13;1;60;4;1983;;1;2;;;;;1200000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;60;1;1;1;1200;1;1;144;;1404;2;;;
101;6;7;17;14;1;100;4;1984;;1;2;;;;;2200000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;4;1;1;360;1;1;1;380;1;1;96;;836;2;;;
101;6;7;17;19;1;48;4;2003;4;1;2;;;;;700000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;4;2;1;250;1;1;1;1200;1;1;96;;1546;2;;;
101;6;11;12;13;2;100;4;1986;;1;2;;;;;800000;2;;;;;;2;;;;1;18500;18500;0;;;0;;;;;1;;;1;4;2;1;240;1;1;1;1400;1;1;252;;20392;2;;;
101;6;11;12;14;1;30;4;1993;;1;2;;;;;200000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;4;2;2;;1;1;1;480;1;1;36;;516;2;;;
101;6;11;12;15;1;35;4;2008;3;1;2;;;;;200000;2;;;;;;2;;;;1;100000;100000;0;;;0;;;;;4;2;1;1;4;2;2;;1;1;1;500;1;1;108;;100608;2;;;
101;6;21;13;13;1;75;4;1999;;1;2;;;;;1150000;2;;;;;;1;9;1985;;2;;;0;;;0;;;;;1;;;1;1;;1;480;1;1;1;1800;1;1;144;;2424;1;1;12;-1
101;6;21;13;14;1;50;4;1991;;1;2;;;;;1000000;2;;;;;;1;3;1991;;2;;;6500;;;0;;;;;1;;;1;1;;1;420;1;1;1;840;1;1;72;;7832;2;;;
101;6;21;13;15;1;130;4;1998;;1;2;;;;;1600000;2;;;;;;1;-1;1984;;2;;;0;;;0;;;;;1;;;1;1;;1;480;1;1;1;2400;1;1;144;;3024;1;1;12;-1
101;6;25;5;13;1;100;2;1996;;1;2;;;;;3000000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;4;2;1;1200;1;1;1;2400;1;1;180;;3780;2;;;
101;6;25;5;14;1;150;2;2000;;3;2;;;;;4000000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;4;2;1;720;1;1;1;1800;1;1;144;;2664;1;2;;
101;6;25;5;15;1;60;2;1998;;1;2;;;;;800000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;4;2;1;100;1;1;1;960;1;1;108;;1168;1;2;;
101;6;27;5;13;1;100;2;1999;;1;2;;;;;3000000;2;;;;;;1;6;1998;;2;;;0;;;0;;;;;4;1;1;1;4;1;2;;1;1;1;4200;1;1;72;;4272;2;;;
101;6;27;5;14;1;50;4;1984;;1;2;;;;;800000;2;;;;;;2;;;;2;;;0;;;0;;;;;4;1;1;1;4;1;2;;2;1;1;960;1;1;144;;1104;2;;;
101;6;27;5;15;1;100;4;1971;;1;2;;;;;1500000;2;;;;;;2;;;;2;;;0;;;0;;;;;4;1;1;1;4;1;2;;3;1;1;600;1;1;144;;744;2;;;
101;7;3;19;13;1;108;2;1993;;1;2;;;;;1200000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;1320;1;1;1;4800;1;1;168;;6288;1;1;12;150
101;7;3;19;14;1;20;2;1989;;1;2;;;;;760000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;420;1;1;1;4200;1;1;150;;4770;2;;;
101;7;3;19;15;1;240;2;2003;2;1;2;;;;;4000000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;980;1;1;1;13200;1;1;125;;14305;1;1;12;1700
101;7;11;15;13;1;40;2;1984;;1;2;;;;;1500000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;1200;1;1;1;4800;1;1;144;;6144;2;;;
101;7;11;15;14;1;40;2;1980;;1;2;;;;;500000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;850;1;1;1;3400;1;1;120;;4370;2;;;
101;7;11;15;15;1;40;2;1961;;1;2;;;;;1400000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;1080;1;1;1;6000;1;1;180;;7260;1;1;12;60
101;7;15;13;15;1;58;2;1980;;1;2;;;;;850000;2;;;;;;2;;;;2;;;0;;;1000;;;;;1;;;1;1;;1;480;1;1;1;1560;1;1;144;;3184;2;;;
101;7;15;13;19;1;90;2;1998;;1;2;;;;;800000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;720;1;1;1;2400;1;1;144;;3264;1;1;5;1800
101;7;15;13;20;1;74;2;1995;;1;2;;;;;800000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;200;1;1;1;600;1;1;72;;872;2;;;
101;7;19;25;13;1;70;2;2006;2;1;2;;;;;1300000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;600;1;1;1;5400;1;1;96;;6096;2;;;
101;7;19;25;15;1;50;2;1989;;1;2;;;;;500000;2;;;;;;2;;;;2;;;0;;;0;;;;;4;1;1;1;4;1;2;;1;1;1;1440;1;1;120;;1560;2;;;
101;7;19;25;20;1;70;2;1993;;1;2;;;;;800000;1;2;;;;500000;2;;;;2;;;0;;;0;;;;;4;1;1;1;4;1;1;360;1;1;1;7200;1;1;144;;7704;1;1;12;3360
101;7;21;16;13;1;25;3;2001;4;1;2;;;;;700000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;720;1;1;1;1560;1;1;108;;2388;2;;;
101;7;21;16;15;1;150;2;2003;2;1;2;;;;;1000000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;600;1;1;1;3120;1;1;216;;3936;1;1;12;1080
101;7;21;16;20;1;100;2;2005;2;1;2;;;;;1000000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;720;1;1;1;3600;1;1;144;;4464;1;2;;
101;7;27;3;13;1;45;2;1994;;1;2;;;;;4000000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;590;1;1;1;2641;1;1;192;;3423;1;2;;
101;7;27;3;14;1;40;4;1973;;1;2;;;;;650000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;350;1;1;1;660;1;1;96;;1106;2;;;
101;7;27;3;15;1;75;2;2001;4;1;2;;;;;1300000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;700;1;1;1;3000;1;1;180;;3880;1;1;12;1800
101;7;33;21;15;1;120;2;2001;4;1;2;;;;;1250000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;480;1;1;1;5400;1;1;108;;5988;1;1;12;1800
101;7;33;21;20;1;180;2;2003;4;1;2;;;;;1850000;1;2;;;;500000;1;12;1987;;2;;;0;;;0;;;;;1;;;1;1;;1;780;1;1;1;4560;1;1;144;;5484;1;1;12;1080
101;7;33;21;24;1;20;4;1992;;1;2;;;;;400000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;360;1;1;1;1440;1;1;96;;1896;2;;;
101;7;37;15;13;1;70;2;1995;;1;2;;;;;2100000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;960;1;1;1;3840;1;1;96;;4896;1;1;10;2400
101;7;37;15;14;1;60;2;2000;;1;2;;;;;2400000;2;;;;;;2;;;;2;;;10000;;;0;;;;;1;;;1;1;;1;432;1;1;1;1920;1;1;48;;12400;2;;;
101;7;37;15;15;1;102;2;2001;9;1;2;;;;;2040000;2;;;;;;2;;;;2;;;32000;;;0;;;;;1;;;1;1;;1;960;1;1;1;3000;1;1;96;;36056;2;;;
101;8;3;7;13;1;60;2;1994;;1;2;;;;;540000;2;;;;;;2;;;;2;;;0;;;0;;;;;9;;;1;4;1;2;;1;1;1;1560;1;1;144;;1704;1;2;;
101;8;3;7;14;1;50;4;2001;3;1;2;;;;;450000;2;;;;;;2;;;;2;;;0;;;0;;;;;11;1;1;1;4;1;1;480;1;1;1;725;1;1;108;;1313;2;;;
101;8;3;7;15;1;65;3;1990;;1;2;;;;;540000;2;;;;;;2;;;;2;;;0;;;180;;;;;11;2;1;1;2;;1;240;1;1;1;1200;1;1;144;;1764;2;;;
101;8;5;16;13;1;60;2;1980;;1;2;;;;;950000;2;;;;;;1;10;2000;;2;;;0;;;0;;;;;1;;;1;1;;1;960;1;1;1;5050;1;1;144;;6154;2;;;
101;8;5;16;14;1;30;2;1998;;1;2;;;;;450000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;2;1;;1;620;1;1;1;2850;1;1;108;;3578;2;;;
101;8;5;16;15;1;50;2;1979;;1;2;;;;;850000;2;;;;;;1;7;2000;;2;;;0;;;0;;;;;3;;;1;1;;1;1200;1;1;1;1320;1;1;180;;2700;2;;;
101;8;7;18;14;1;50;2;1980;;1;2;;;;;1000000;2;;;;;;1;4;1999;;2;;;0;;;0;;;;;1;;;1;1;;1;720;1;1;1;2760;1;1;96;;3576;2;;;
101;8;7;18;19;1;70;2;1993;;1;2;;;;;900000;2;;;;;;1;-1;2004;;2;;;0;;;0;;;;;1;;;1;1;;1;840;1;1;1;4440;1;1;120;;5400;1;1;12;1800
101;8;7;18;20;1;40;2;1988;;3;1;1;3600;12;12;800000;2;;;;;;2;;;;2;;;0;;;400;;;;;1;;;1;1;;1;432;1;1;1;1200;1;1;96;;5728;2;;;
101;8;15;27;14;1;40;2;2000;;1;2;;;;;800000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;700;1;1;1;1800;1;1;240;;2740;2;;;
101;8;15;27;15;1;30;2;1998;;1;1;3;9600;12;12;600000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;700;1;1;1;1200;1;1;180;;11680;2;;;
101;8;15;27;20;1;20;2;1990;;1;2;;;;;800000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;360;1;1;1;1200;1;1;120;;1680;2;;;
101;8;19;22;14;1;170;2;1992;;1;2;;;;;2500000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;2;1;;1;480;1;1;1;2400;1;1;144;;3024;1;1;12;1800
101;8;19;22;15;2;136;2;1958;;1;2;;;;;2720000;1;1;27722;12;12;1000000;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;420;1;1;1;1560;1;1;144;;2124;2;;;
101;8;19;22;20;1;45;2;1968;;1;2;;;;;900000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;480;1;1;1;3360;1;1;108;;3948;1;2;;
101;8;25;6;14;1;20;4;1998;;3;2;;;;;650000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;280;1;1;1;840;1;1;108;;1228;2;;;
101;8;25;6;15;1;40;4;2002;2;3;2;;;;;635000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;300;1;1;1;720;1;1;108;;1128;1;2;;
101;8;25;6;19;1;30;2;2002;4;1;2;;;;;796000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;3;1;;1;300;1;1;1;420;1;1;108;;828;2;;;
101;8;27;16;13;1;153;2;1979;;1;2;;;;;750000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;720;1;1;1;2640;1;1;252;;3612;1;2;;
101;8;27;16;14;1;227;2;1973;;1;2;;;;;3650000;1;1;170459;12;12;3400000;1;4;1999;;2;;;0;;;1850;;;;;1;;;1;1;;1;1080;1;1;1;6120;1;1;180;;9230;1;1;12;1950
101;8;27;16;15;1;90;2;1997;;1;2;;;;;765000;1;2;;;;570000;2;;;;2;;;0;;;880;;;;;1;;;1;1;;1;540;1;1;1;1870;1;1;96;;3386;1;2;;
101;9;3;23;13;1;38;2;1997;;1;2;;;;;500000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;380;1;1;1;2700;1;1;200;;3280;2;;;
101;9;3;23;14;1;24;2;1987;;1;2;;;;;400000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;400;1;1;1;2600;1;1;72;;3072;2;;;
101;9;3;23;15;1;38;2;1980;;1;2;;;;;420000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;320;1;1;1;1800;1;1;130;;2250;2;;;
101;9;5;8;14;1;100;2;1960;;1;2;;;;;1200000;2;;;;;;2;;;;2;;;0;;;1800;;;;;1;;;1;1;;1;580;1;1;1;4200;1;1;108;;6688;1;1;12;1850
101;9;5;8;15;1;70;2;1984;;1;2;;;;;1100000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;720;1;1;1;1680;1;1;144;;2544;2;;;
101;9;5;8;24;1;40;2;1979;;1;2;;;;;1500000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;600;1;1;1;3000;1;1;180;;3780;2;;;
101;9;11;35;13;1;70;2;2000;;2;2;;;;;5600000;2;;;;;;2;;;;2;;;0;;;0;;;;;1;;;1;1;;1;360;1;1;1;2400;1;1;48;;2808;1;2;;
