_2015_h8,idstd2005,_2005_q86a10,_2005_q86a6,n5b,d1a3,l1,id2015,n2f,k2c,d2,d10,_2005_q86a9,n2i,_2005_q86a11,idstd2015,i2b,k1c,_2005_q86a1,_2005_q86a5,id2005,_2005_q86a3,n2e,idstd2009,_2005_q86a4,a6a,_2005_q86a8,id2009,i4b,n2a,_2005_q87d,d11,c9b,n5a,n2b,_2005_q87a,main_activity_sales,total_purchases_2015,purchased_on_credit
0.0,60021.0,,,0.0,50.0,200.0,,0.0,70.0,27000000000.0,0.0,,,,599628.0,,100.0,,,,,7000000000.0,466139.0,,3.0,,92.0,,6500000000.0,,0.0,600000000.0,300000000.0,1600000000.0,,13500000000.0,300000000.0,300000000.0
300000000.0,,,,-9.0,70.0,120.0,10736.0,750000000.0,80.0,25000000000.0,0.0,,,,599628.0,400000000.0,20.0,,,,,3000000000.0,,,3.0,,,,6500000000.0,,0.0,,400000000.0,840000000.0,,17500000000.0,699999991.0,139999998.20000002
0.0,60020.0,,,0.0,95.0,1100.0,,0.0,25.0,340000000000.0,0.0,,,,599629.0,,25.0,,,,,-8.0,466140.0,,3.0,,93.0,,30000000000.0,,0.0,,10000000000.0,-9.0,,323000000000.0,10000000000.0,2500000000.0
550000000.0,,,,570000000.0,100.0,705.0,10737.0,21000000000.0,70.0,310000000000.0,0.0,,,,599629.0,650000000.0,0.0,,,,,232900000000.0,,,3.0,,,,65100000000.0,,0.0,,1200000000.0,900000000.0,,310000000000.0,2320000000.0,0.0
0.0,,,,0.0,100.0,130.0,10740.0,600000000.0,100.0,9500000000.0,0.0,,,,599630.0,,100.0,,,,,-9.0,,,3.0,,,,-9.0,,0.0,,0.0,2000000000.0,,9500000000.0,0.0,0.0
0.0,60437.0,,,0.0,50.0,125.0,,0.0,30.0,60000000000.0,0.0,,,,599631.0,140000000.0,30.0,,,,,-8.0,466147.0,,3.0,,112.0,20000000.0,-8.0,,0.0,,5000000000.0,-8.0,,30000000000.0,5000000000.0,1500000000.0
400000000.0,,,,0.0,60.0,120.0,10744.0,200000000.0,10.0,102000000000.0,0.0,,,,599631.0,200000000.0,10.0,,,,,80000000000.0,,,3.0,,,,4000000000.0,,0.0,,300000000.0,500000000.0,,61200000000.0,700000000.0,70000000.0
0.0,60044.0,,,0.0,100.0,215.0,,773000000.0,100.0,6800000000.0,0.0,,,,599633.0,10000000.0,0.0,,,,,4100000000.0,466155.0,,3.0,,143.0,,254000000.0,,0.0,,0.0,180000000.0,,6800000000.0,0.0,0.0
0.0,,,,0.0,90.0,84.0,10752.0,300000000.0,50.0,3500000000.0,0.0,,,,599633.0,120000000.0,30.0,,,,,2000000000.0,,,3.0,,,,1500000000.0,,0.0,,500000000.0,50000000.0,,3150000000.0,500000000.0,150000000.0
0.0,60508.0,,,2100000000.0,100.0,2100.0,,1000000000.0,60.0,35000000000.0,-7.0,,,,599634.0,,87.0,,,,,3500000000.0,466156.0,,3.0,,147.0,80000000.0,22800000000.0,,-7.0,,3600000000.0,700000000.0,,35000000000.0,5700000000.0,4959000000.0
0.0,,,,10000000000.0,100.0,3000.0,10753.0,10000000000.0,100.0,250000000000.0,-7.0,,,,599634.0,,100.0,,,,,35000000000.0,,,3.0,,,100000000.0,210000000000.0,,0.0,300000000.0,20000000000.0,3000000000.0,,250000000000.0,30000000000.0,30000000000.0
0.0,60154.0,,,0.0,90.0,120.0,,0.0,65.0,33000000000.0,0.0,,,,599636.0,,20.0,,,,,-8.0,466169.0,,3.0,,169.0,,-8.0,,0.0,,850000000.0,-8.0,,29700000000.0,850000000.0,170000000.0
0.0,,,,0.0,75.0,120.0,10766.0,209000000.0,5.0,52000000000.0,0.0,,,,599636.0,150000000.0,50.0,,,,,16800000000.0,,,3.0,,,,9670000000.0,,0.0,,800000000.0,567000000.0,,39000000000.0,800000000.0,400000000.0
0.0,60149.0,,,10000000000.0,100.0,700.0,,30000000000.0,10.0,253000000000.0,0.0,,,,599637.0,550000000.0,90.0,,,,,60000000000.0,466170.0,,3.0,,173.0,,25000000000.0,,0.0,,100000000000.0,20000000000.0,,253000000000.0,110000000000.0,99000000000.0
500000000.0,,,,0.0,60.0,250.0,10767.0,3105000000.0,0.0,114200000000.0,0.0,,,,599637.0,1000000000.0,50.0,,,,,23900000000.0,,,3.0,,,,26960000000.0,,0.0,,0.0,-9.0,,68520000000.0,500000000.0,250000000.0
0.0,60237.0,,,0.0,100.0,280.0,,7000000000.0,100.0,370000000000.0,0.0,,,,599639.0,360000000.0,100.0,,,,,200000000000.0,466174.0,,3.0,,186.0,30000000.0,25000000000.0,,-9.0,,20000000000.0,15000000000.0,,370000000000.0,20000000000.0,20000000000.0
2000000000.0,,,,0.0,100.0,273.0,10771.0,-9.0,57.0,280000000000.0,0.0,,,,599639.0,1000000000.0,100.0,,,,,-9.0,,,3.0,,,,-9.0,,0.0,,15000000000.0,-9.0,,280000000000.0,17000000000.0,17000000000.0
