idstd2015,id2015,idstd2009,id2009,idstd2005,id2005,a6a,c9b,d1a3,d2,d10,d11,_2015_h8,i2b,i4b,n2a,n2b,n2i,n2e,n2f,n5a,n5b,_2015_h8,l1,k1c,k2c,main_activity_sales,total_purchases_2015,purchased_on_credit
599645.0,10792.0,,,,,3.0,,100.0,110000000000.0,0.0,0.0,0.0,600000000.0,,70000000000.0,1000000000.0,,1200000000.0,-9.0,0.0,0.0,0.0,167.0,0.0,0.0,110000000000.0,0.0,0.0
599646.0,10796.0,,,,,3.0,,100.0,30000000000.0,0.0,0.0,0.0,200000000.0,,6500000000.0,1346000000.0,,10320000000.0,-9.0,3000000000.0,0.0,0.0,300.0,0.0,20.0,30000000000.0,3000000000.0,0.0
599648.0,10806.0,,,,,3.0,,100.0,75000000000.0,0.0,0.0,0.0,96000000.0,,20000000000.0,7000000.0,,1500000000.0,-9.0,6000000000.0,0.0,0.0,130.0,20.0,0.0,75000000000.0,6000000000.0,1200000000.0
599650.0,10813.0,,,,,2.0,,100.0,15000000000.0,0.0,0.0,50000000.0,,,1800000000.0,1200000000.0,,7000000000.0,1000000000.0,1500000000.0,0.0,50000000.0,50.0,60.0,60.0,15000000000.0,1550000000.0,930000000.0
599651.0,10814.0,,,,,2.0,,100.0,20000000000.0,0.0,0.0,0.0,,,1600000000.0,200000000.0,,16000000000.0,1600000000.0,0.0,0.0,0.0,50.0,100.0,100.0,20000000000.0,0.0,0.0
599652.0,10815.0,,,,,3.0,-9.0,40.0,20000000000.0,0.0,0.0,0.0,420000000.0,,9600000000.0,1300000000.0,7000000000.0,,,0.0,0.0,0.0,145.0,0.0,0.0,8000000000.0,0.0,0.0
599654.0,10820.0,,,,,3.0,,100.0,145000000000.0,0.0,0.0,0.0,350000000.0,,18400000000.0,-9.0,,3000000000.0,500000000.0,3900000000.0,0.0,0.0,198.0,100.0,100.0,145000000000.0,3900000000.0,3900000000.0
599655.0,10830.0,,,,,2.0,,30.0,70000000000.0,0.0,1.0,50000000.0,,,8000000000.0,7000000000.0,,40000000000.0,6000000000.0,400000000.0,0.0,50000000.0,120.0,0.0,100.0,21000000000.0,450000000.0,0.0
599656.0,10831.0,,,,,3.0,20000000.0,100.0,40000000000.0,0.0,0.0,0.0,200000000.0,,10000000000.0,3000000000.0,,600000000.0,10000000000.0,0.0,0.0,0.0,120.0,50.0,50.0,40000000000.0,0.0,0.0
599658.0,10836.0,,,,,2.0,20000000.0,100.0,44650000000.0,0.0,0.0,0.0,150000000.0,,8617000000.0,154000000.0,,29150000000.0,167000000.0,10000000000.0,0.0,0.0,80.0,90.0,80.0,44650000000.0,10000000000.0,9000000000.0
599659.0,10840.0,,,,,3.0,60000000.0,100.0,40000000000.0,0.0,0.0,0.0,36000000.0,15000000.0,1200000000.0,500000000.0,-9.0,,,3000000000.0,0.0,0.0,103.0,85.0,20.0,40000000000.0,3000000000.0,2550000000.0
599660.0,10842.0,,,,,2.0,200000000.0,80.0,100000000000.0,0.0,3.0,500000000.0,200000000.0,,10000000000.0,120000000.0,,20000000000.0,10000000000.0,10000000000.0,0.0,500000000.0,102.0,20.0,10.0,80000000000.0,10500000000.0,2100000000.0
599661.0,10848.0,,,,,2.0,,95.0,49500000000.0,0.0,0.0,0.0,48000000.0,,3800000000.0,36000000.0,,30000000000.0,1900000000.0,5000000000.0,0.0,0.0,60.0,85.0,100.0,47025000000.0,5000000000.0,4250000000.0
599670.0,10872.0,,,,,3.0,,99.0,14000000000.0,0.0,0.0,0.0,250000000.0,,1650000000.0,1200000000.0,,-9.0,555000000.0,0.0,0.0,0.0,250.0,30.0,50.0,13860000000.0,0.0,0.0
599671.0,10875.0,,,,,3.0,,99.0,10000000000.0,0.0,0.0,0.0,,,5000000000.0,1200000000.0,,1300000000.0,240000000.0,1500000000.0,0.0,0.0,100.0,0.0,100.0,9900000000.0,1500000000.0,0.0
599673.0,10884.0,,,,,3.0,,90.0,226000000000.0,0.0,0.0,0.0,,,9280000000.0,702000000.0,,66890000000.0,360000000.0,7000000000.0,0.0,0.0,115.0,90.0,100.0,203400000000.0,7000000000.0,6300000000.0
599674.0,10889.0,,,,,3.0,,95.0,800000000000.0,0.0,0.0,0.0,,,37000000000.0,9000000000.0,,200000000000.0,-9.0,700000000.0,-9.0,0.0,600.0,65.0,65.0,760000000000.0,699999991.0,454999994.15000004
599675.0,10895.0,,,,,3.0,,80.0,53000000000.0,0.0,0.0,0.0,,,39000000000.0,933000000.0,,3000000000.0,78000000.0,2500000000.0,0.0,0.0,650.0,100.0,100.0,42400000000.0,2500000000.0,2500000000.0
599676.0,10898.0,,,,,2.0,,100.0,50000000000.0,0.0,0.0,5000000000.0,240000000.0,,11000000000.0,840000000.0,,26000000000.0,160000000.0,7000000000.0,30000000000.0,5000000000.0,130.0,100.0,100.0,50000000000.0,42000000000.0,42000000000.0
599678.0,10903.0,,,,,3.0,,100.0,60000000000.0,0.0,0.0,0.0,550000000.0,,52770000000.0,1500000000.0,,3054000000.0,753000000.0,50000000.0,0.0,0.0,900.0,0.0,100.0,60000000000.0,50000000.0,0.0
599679.0,10904.0,,,,,3.0,,95.0,495000000000.0,0.0,0.0,500000000.0,,,145000000000.0,5000000000.0,,260000000000.0,4500000000.0,17000000000.0,0.0,500000000.0,2800.0,40.0,80.0,470250000000.0,17500000000.0,7000000000.0
599680.0,10907.0,,,,,3.0,20000000.0,100.0,200000000000.0,0.0,0.0,0.0,300000000.0,,29430000000.0,11000000000.0,,11360000000.0,1000000000.0,10000000000.0,0.0,0.0,450.0,100.0,100.0,200000000000.0,10000000000.0,10000000000.0
599683.0,10914.0,,,,,3.0,,60.0,60000000000.0,0.0,0.0,30000000.0,96000000.0,,3375000000.0,275000000.0,,7359000000.0,40000000.0,1000000000.0,0.0,30000000.0,80.0,0.0,70.0,36000000000.0,1030000000.0,0.0
599685.0,10917.0,,,,,3.0,,60.0,880500000000.0,1.0,1.0,3158000000.0,,,17230000000.0,2580000000.0,,629300000000.0,3417000000.0,0.0,0.0,3158000000.0,450.0,30.0,30.0,528300000000.0,3158000000.0,947400000.0
599686.0,10918.0,,,,,3.0,,99.0,407900000000.0,0.0,0.0,0.0,276000000.0,,13000000000.0,3161000000.0,,227000000000.0,-9.0,0.0,6000000000.0,0.0,355.0,100.0,100.0,403821000000.0,6000000000.0,6000000000.0
599688.0,10922.0,,,,,3.0,,100.0,22000000000.0,0.0,0.0,0.0,250000000.0,,7000000000.0,500000000.0,,200000000.0,1200000000.0,0.0,0.0,0.0,234.0,0.0,0.0,22000000000.0,0.0,0.0
599690.0,10940.0,,,,,2.0,,99.0,400000000000.0,0.0,1.0,0.0,,,2000000000.0,240000000.0,,280000000000.0,-9.0,4000000000.0,0.0,0.0,85.0,100.0,98.0,396000000000.0,4000000000.0,4000000000.0
599692.0,10947.0,,,,,2.0,,95.0,365000000000.0,0.0,2.0,0.0,500000000.0,100000000.0,4500000000.0,2000000000.0,,250000000000.0,15000000000.0,15000000000.0,0.0,0.0,100.0,40.0,70.0,346750000000.0,15000000000.0,6000000000.0
599693.0,10948.0,,,,,2.0,840000000.0,90.0,200000000000.0,0.0,3.0,500000000.0,840000000.0,,48000000000.0,1200000000.0,120300000000.0,,,10000000000.0,16000000000.0,500000000.0,200.0,80.0,100.0,180000000000.0,26500000000.0,21200000000.0
599694.0,10954.0,,,,,3.0,,100.0,66000000000.0,0.0,0.0,0.0,,,7000000000.0,1300000000.0,,45000000000.0,800000000.0,0.0,0.0,0.0,230.0,50.0,50.0,66000000000.0,0.0,0.0
